Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID00040,Male,19,Computer Science,79.4,6.6,2.96,4.8,4,3.07
ID00041,Male,21,Business,99.7,4.8,2.96,4.1,10,3.05
ID00042,Male,23,Economics,79.2,11.9,1.87,8.0,9,2.38
ID00043,Male,21,Mathematics,100.0,2.7,3.37,6.5,7,3.76
ID00044,Female,24,Business,91.4,8.2,3.01,7.5,10,3.42
ID00045,Male,23,Psychology,90.1,3.9,3.69,6.2,4,3.97
ID00046,Female,19,Economics,83.1,2.4,3.21,7.8,8,3.62
ID00047,Male,18,Psychology,84.0,3.3,3.47,9.0,8,3.76
ID00048,Male,19,Computer Science,81.0,4.5,3.7,9.1,5,3.9
ID00049,Male,19,Psychology,80.5,3.1,3.03,6.0,7,3.43
ID00050,Male,18,Economics,93.0,2.0,3.1,6.4,9,3.5
ID00051,Female,18,Economics,71.0,2.4,2.31,7.3,6,2.2
ID00052,Female,20,Business,68.9,5.7,3.72,9.8,12,3.83
ID00053,Female,23,Engineering,68.2,2.2,3.03,5.3,10,2.73
ID00054,Female,24,Business,100.0,2.9,2.6,5.3,11,2.62
ID00055,Female,20,Computer Science,93.0,2.2,3.47,8.3,7,3.66
ID00056,Female,18,Psychology,89.6,4.9,2.01,6.0,7,2.4
ID00057,Male,21,Engineering,69.1,14.0,2.89,8.0,7,3.56
ID00058,Male,24,Mathematics,94.4,5.6,3.55,6.1,9,4.0
ID00059,Male,21,Economics,83.3,2.6,2.88,7.5,5,3.07
ID00060,Male,19,Engineering,88.2,4.9,2.74,6.2,8,3.14
ID00061,Male,22,Engineering,70.4,2.7,2.89,5.5,9,2.88
ID00062,Male,19,Business,87.4,4.7,2.1,7.2,2,2.39
ID00063,Female,19,Mathematics,78.6,9.1,3.46,5.2,8,3.61
ID00064,Male,22,Economics,73.5,4.1,3.04,7.7,4,2.92
ID00065,Male,23,Computer Science,96.0,5.1,2.96,6.6,16,2.92
ID00066,Male,18,Computer Science,61.9,4.2,2.97,5.0,6,2.97
ID00067,Male,21,Engineering,93.5,7.0,3.11,7.4,13,3.61
ID00068,Female,19,Engineering,95.3,6.1,3.43,7.4,7,3.75
ID00069,Male,22,Psychology,71.8,3.4,3.07,4.0,6,2.79
ID00070,Female,20,Mathematics,72.7,6.1,2.42,6.9,6,2.44
ID00071,Female,19,Economics,81.7,4.7,3.39,7.0,2,3.87
ID00072,Male,21,Engineering,89.2,3.2,3.35,7.1,9,3.5
ID00073,Male,18,Psychology,82.7,3.3,3.2,4.3,5,3.38
ID00074,Female,19,Mathematics,91.5,4.6,3.64,7.5,4,3.92
ID00075,Female,19,Economics,100.0,5.1,3.12,7.8,6,3.54
ID00076,Female,23,Computer Science,77.4,3.8,3.66,5.6,9,3.6
ID00077,Female,22,Psychology,59.3,5.1,3.8,4.9,4,3.7
ID00078,Male,20,Mathematics,97.4,2.6,3.39,5.5,5,3.68
ID00079,Male,20,Psychology,100.0,2.1,2.73,7.2,7,3.16
ID00080,Male,24,Engineering,90.9,1.5,3.03,5.1,6,3.19
ID00081,Female,18,Business,68.7,5.6,3.72,5.0,6,3.85
ID00082,Female,24,Computer Science,83.1,1.5,2.35,10.0,17,2.33
ID00083,Male,21,Engineering,68.2,5.1,2.9,7.0,6,2.82
ID00084,Male,18,Engineering,94.6,3.1,2.93,6.5,13,3.4
ID00085,Male,19,Mathematics,64.7,3.5,2.67,6.0,6,2.58
ID00086,Male,19,Psychology,80.5,3.5,3.54,6.4,8,3.95
ID00087,Female,20,Computer Science,69.9,13.7,3.29,9.7,10,3.83
ID00088,Female,21,Engineering,86.9,2.9,2.74,8.2,6,2.78
ID00089,Female,22,Mathematics,79.5,2.3,3.4,10.0,12,3.45
ID00090,Male,21,Computer Science,87.7,10.7,3.02,7.6,9,3.88
ID00091,Male,19,Psychology,85.3,1.7,2.65,5.6,8,2.85
ID00092,Female,22,Engineering,70.2,1.9,2.74,7.4,1,2.55
ID00093,Female,21,Economics,94.4,6.7,3.32,7.8,6,3.83
ID00094,Female,21,Engineering,84.3,5.2,3.57,7.9,2,3.92
ID00095,Female,22,Engineering,70.2,3.3,2.86,6.3,12,3.05
ID00096,Male,19,Computer Science,100.0,2.2,3.37,9.7,10,3.49
ID00097,Male,21,Computer Science,92.1,1.0,3.89,5.1,8,4.0
ID00098,Male,22,Computer Science,82.7,9.4,2.47,7.5,10,3.14
ID00099,Male,23,Computer Science,100.0,6.1,3.28,6.6,5,3.64
ID00100,Male,23,Mathematics,100.0,8.9,3.52,5.8,9,4.0
ID00101,Male,19,Business,82.8,7.4,3.05,7.4,10,3.53
ID00102,Female,22,Mathematics,90.2,5.4,3.72,8.9,8,3.99
ID00103,Male,23,Engineering,70.2,2.9,4.0,7.6,16,3.84
ID00104,Male,22,Mathematics,82.8,2.2,3.27,7.4,6,3.39
ID00105,Female,21,Psychology,82.0,7.8,2.98,4.0,9,3.38
ID00106,Male,19,Economics,87.8,3.1,3.59,8.4,8,3.6
ID00107,Male,23,Computer Science,90.0,2.2,3.52,6.4,11,3.68
ID00108,Female,24,Psychology,93.4,2.7,1.84,7.8,7,2.17
ID00109,Male,21,Economics,88.6,8.1,3.1,8.4,11,3.39
ID00110,Male,24,Psychology,66.8,2.4,2.9,7.3,15,2.78
ID00111,Male,24,Engineering,70.9,3.3,3.3,4.0,11,3.37
ID00112,Male,18,Computer Science,76.8,3.9,3.0,9.1,5,3.02
ID00113,Female,18,Psychology,80.8,4.7,3.06,9.7,8,3.17
ID00114,Female,19,Engineering,100.0,2.3,2.67,8.2,9,3.03
ID00115,Female,23,Computer Science,67.6,3.8,3.47,5.9,6,3.59
ID00116,Female,23,Business,79.6,6.8,3.93,8.8,8,3.88
ID00117,Female,23,Engineering,99.3,11.9,2.68,6.6,12,3.59
ID00118,Male,22,Mathematics,80.5,2.0,2.4,6.9,5,2.67
ID00119,Female,21,Computer Science,91.9,2.2,3.11,8.8,5,3.44
ID00120,Male,23,Psychology,82.9,2.4,3.09,8.0,6,3.55
ID00121,Female,21,Economics,88.9,5.9,3.69,4.0,9,4.0
ID00122,Female,19,Psychology,81.6,2.1,2.49,7.3,8,2.66
ID00123,Male,24,Mathematics,95.0,3.7,2.83,8.8,8,3.23
ID00124,Male,23,Mathematics,61.8,3.5,2.03,5.0,6,1.98
ID00125,Male,19,Psychology,79.6,12.5,3.79,8.5,11,4.0
ID00126,Male,23,Economics,89.4,2.9,3.23,4.5,4,3.41
ID00127,Female,18,Computer Science,93.0,2.8,2.87,6.7,8,3.12
ID00128,Female,20,Engineering,100.0,5.9,2.44,7.8,6,3.06
ID00129,Male,19,Mathematics,79.1,4.9,2.48,6.6,6,2.7
ID00130,Male,23,Mathematics,100.0,2.7,3.31,8.8,11,3.31
ID00131,Male,20,Mathematics,75.1,8.4,2.55,4.9,3,2.52
ID00132,Male,19,Economics,100.0,1.6,3.15,8.2,10,3.11
ID00133,Male,22,Business,97.3,4.0,4.0,7.1,9,4.0
ID00134,Male,23,Economics,71.3,3.4,2.93,5.7,4,2.98
ID00135,Female,22,Computer Science,89.6,3.8,2.62,7.7,13,2.97
ID00136,Male,18,Computer Science,84.2,2.7,3.29,6.9,7,3.59
ID00137,Male,23,Computer Science,94.4,3.8,2.49,9.2,11,2.63
ID00138,Female,24,Computer Science,81.7,4.6,3.96,7.9,6,4.0
ID00139,Male,18,Computer Science,80.4,0.7,3.8,7.6,9,3.89
ID00140,Female,20,Psychology,100.0,3.1,3.02,6.0,5,3.23
ID00141,Female,19,Mathematics,83.5,2.5,2.65,7.2,6,2.88
ID00142,Male,21,Economics,97.4,10.3,2.89,6.1,7,3.37
ID00143,Male,18,Psychology,81.6,5.3,2.95,6.9,5,3.55
ID00144,Male,21,Economics,100.0,2.4,3.29,8.9,11,3.63
ID00145,Male,21,Business,74.8,3.0,3.62,6.6,6,3.74
ID00146,Male,19,Engineering,75.8,3.4,2.58,4.8,9,2.53
ID00147,Female,20,Mathematics,100.0,2.9,3.61,7.7,10,4.0
ID00148,Male,19,Business,78.3,5.5,3.41,8.2,9,3.62
ID00149,Male,23,Psychology,100.0,9.3,2.85,9.4,11,3.28
ID00150,Male,18,Engineering,98.4,0.4,2.56,8.3,10,2.58
ID00151,Female,21,Business,82.7,3.3,3.16,6.6,8,3.57
ID00152,Male,19,Economics,57.8,11.9,2.57,7.4,15,2.77
ID00153,Male,19,Engineering,84.7,3.4,3.61,7.6,3,4.0
ID00154,Male,19,Economics,86.5,4.7,2.54,7.7,8,2.86
ID00155,Female,18,Business,100.0,0.8,3.37,4.0,7,3.38
ID00156,Male,20,Psychology,100.0,8.3,3.06,6.1,6,3.66
ID00157,Female,24,Economics,74.7,2.0,2.82,7.7,4,2.63
ID00158,Female,19,Engineering,97.0,5.2,3.05,8.6,8,3.18
ID00159,Male,18,Business,96.5,2.2,3.64,6.0,9,3.8
ID00160,Female,21,Economics,100.0,0.5,2.5,6.4,3,2.54
ID00161,Male,23,Psychology,92.5,4.9,2.89,6.6,7,3.09
ID00162,Female,24,Mathematics,55.9,6.2,2.72,6.8,7,2.69
ID00163,Female,22,Psychology,82.7,3.9,3.08,8.3,9,3.34
ID00164,Male,24,Psychology,67.7,1.8,2.76,5.9,10,2.67
ID00165,Male,24,Mathematics,82.0,13.2,2.22,8.3,8,2.8
ID00166,Female,18,Psychology,99.7,6.0,2.57,9.1,9,2.82
ID00167,Male,22,Mathematics,89.6,4.5,3.92,6.4,5,4.0
ID00168,Male,19,Mathematics,100.0,7.6,3.22,6.4,4,3.95
ID00169,Male,19,Economics,90.1,2.9,3.21,7.2,11,3.35
ID00170,Female,24,Economics,65.5,10.9,2.96,6.1,6,3.19
ID00171,Female,18,Mathematics,47.2,6.1,3.07,6.9,7,2.97
ID00172,Male,22,Business,87.2,7.2,2.89,4.8,5,3.23
ID00173,Male,19,Engineering,81.8,3.3,3.36,8.3,6,3.73
ID00174,Male,21,Business,70.3,2.0,3.15,9.5,10,3.13
ID00175,Female,20,Mathematics,59.5,4.5,2.51,6.0,2,2.43
ID00176,Male,20,Engineering,74.0,3.0,3.23,4.5,7,3.22
ID00177,Female,19,Economics,82.1,11.6,1.87,8.4,14,2.35
ID00178,Male,22,Engineering,95.0,1.6,3.31,6.4,3,3.37
ID00179,Female,23,Mathematics,87.8,8.7,2.4,6.0,11,2.81
ID00180,Male,19,Economics,100.0,1.2,3.05,6.8,5,3.38
ID00181,Male,23,Engineering,69.5,2.2,2.5,5.2,8,2.42
ID00182,Male,23,Engineering,98.2,1.2,3.1,7.7,5,3.5
ID00183,Female,22,Business,85.7,2.9,3.39,5.1,10,3.64
ID00184,Female,23,Engineering,95.4,3.6,3.85,5.2,10,3.98
ID00185,Male,21,Mathematics,78.5,2.7,2.33,5.2,12,2.05
ID00186,Female,22,Computer Science,100.0,5.2,3.59,7.2,6,3.95
ID00187,Female,19,Computer Science,89.4,3.6,3.17,4.3,7,3.28
ID00188,Female,24,Computer Science,74.8,0.9,2.87,10.0,11,2.72
ID00189,Male,21,Mathematics,84.8,2.1,3.48,6.4,4,3.57
ID00190,Male,18,Computer Science,81.4,3.3,2.98,4.0,9,3.3
ID00191,Male,20,Business,92.3,7.4,3.46,5.4,12,3.96
ID00192,Female,19,Mathematics,67.3,4.3,2.6,7.9,11,2.76
ID00193,Female,19,Economics,84.6,3.0,2.78,9.0,10,3.17
ID00194,Female,19,Mathematics,90.9,1.5,3.57,7.2,5,3.86
ID00195,Male,21,Mathematics,85.5,4.5,3.84,7.1,5,4.0
ID00196,Male,18,Engineering,100.0,8.4,3.08,4.7,9,3.38
ID00197,Female,24,Engineering,96.6,3.4,1.71,9.2,11,2.11
ID00198,Female,22,Engineering,84.9,2.3,3.0,7.8,10,3.15
ID00199,Female,18,Psychology,88.3,5.6,3.12,7.5,10,3.55
ID00200,Female,21,Business,89.4,7.6,2.98,7.0,11,3.69
ID00201,Female,19,Mathematics,91.0,3.6,3.27,7.8,6,3.47
ID00202,Male,20,Mathematics,57.6,6.0,2.86,5.8,7,2.42
ID00203,Male,19,Engineering,80.5,3.1,3.52,8.4,9,3.64
ID00204,Female,22,Mathematics,62.7,6.2,2.52,8.2,3,2.44
ID00205,Female,23,Economics,100.0,8.6,3.72,6.9,10,4.0
ID00206,Male,20,Mathematics,84.1,6.7,3.88,6.6,3,4.0
ID00207,Male,19,Computer Science,82.1,5.5,2.64,4.0,8,2.79
ID00208,Female,24,Economics,98.5,10.2,2.64,4.4,5,3.36
ID00209,Male,20,Economics,91.3,3.5,3.31,7.8,13,3.45
ID00210,Male,23,Mathematics,68.1,5.5,2.51,8.4,15,2.44
ID00211,Male,18,Psychology,83.9,3.5,2.85,8.6,7,2.97
ID00212,Female,21,Engineering,80.0,5.5,3.65,5.0,5,3.78
ID00213,Female,19,Business,58.8,6.1,3.47,10.0,10,3.09
ID00214,Male,22,Business,74.6,7.0,4.0,8.5,7,4.0
ID00215,Female,18,Computer Science,82.2,4.2,3.19,6.1,6,3.37
ID00216,Male,19,Business,83.3,1.1,2.79,7.2,6,2.8
ID00217,Male,18,Business,62.8,3.6,3.13,4.5,6,3.11
ID00218,Female,22,Engineering,100.0,5.9,3.02,6.1,11,3.3
ID00219,Female,19,Engineering,83.5,4.9,3.03,7.8,9,3.37
ID00220,Female,23,Psychology,85.6,5.3,3.09,7.1,14,3.31
ID00221,Female,23,Computer Science,91.0,6.3,2.63,9.6,14,2.94
ID00222,Female,22,Business,73.2,1.9,3.24,4.8,9,3.01
ID00223,Male,20,Psychology,91.8,6.5,2.4,6.8,4,2.92
ID00224,Male,22,Computer Science,79.5,10.5,2.74,5.3,10,3.01
ID00225,Male,20,Economics,71.6,3.3,3.04,9.3,8,3.03
ID00226,Male,19,Business,93.6,7.0,1.97,7.4,9,2.64
ID00227,Female,20,Business,100.0,4.3,3.48,7.0,10,3.96
ID00228,Male,19,Engineering,95.9,5.2,2.07,6.8,9,2.65
ID00229,Female,19,Mathematics,98.8,6.7,3.43,5.7,12,3.64
ID00230,Female,24,Computer Science,77.2,4.9,2.45,8.8,4,2.64
ID00231,Female,21,Business,61.0,3.1,2.9,7.3,16,2.53
ID00232,Male,19,Computer Science,100.0,5.0,3.36,7.4,3,3.67
ID00233,Female,20,Psychology,100.0,2.3,4.0,7.9,3,4.0
ID00234,Male,21,Psychology,100.0,1.5,3.16,5.7,11,3.4
ID00235,Male,21,Mathematics,80.0,0.8,2.11,10.0,3,2.38
ID00236,Female,19,Business,67.7,8.9,3.58,9.4,10,3.8
ID00237,Male,22,Engineering,69.0,5.4,2.98,6.9,8,2.96
ID00238,Male,22,Business,59.7,6.1,3.13,6.5,7,2.87
ID00239,Female,23,Computer Science,83.4,4.7,3.38,8.0,12,3.73
ID00240,Male,21,Economics,100.0,1.2,1.99,8.7,5,2.05
ID00241,Female,19,Psychology,82.9,8.6,3.1,9.6,7,3.48
ID00242,Female,24,Computer Science,89.5,3.1,2.9,8.0,7,3.35
ID00243,Female,22,Mathematics,100.0,0.8,3.71,7.2,12,3.81
ID00244,Male,24,Psychology,78.9,3.5,3.46,7.2,8,3.52
ID00245,Male,19,Engineering,100.0,8.0,2.29,4.2,17,2.43
ID00246,Female,19,Psychology,100.0,2.3,3.73,6.4,9,4.0
ID00247,Male,21,Economics,83.0,3.4,3.32,7.5,9,3.69
ID00248,Female,24,Business,76.3,3.2,2.33,4.0,9,2.17
ID00249,Female,23,Economics,95.5,2.2,3.13,7.3,7,3.45
ID00250,Female,21,Economics,79.8,4.4,3.62,5.8,5,3.52
ID00251,Male,18,Business,67.7,2.4,2.49,9.4,6,2.2
ID00252,Male,24,Psychology,100.0,8.8,3.79,6.6,8,4.0
ID00253,Female,22,Mathematics,100.0,1.4,2.34,6.6,11,2.7
ID00254,Male,22,Business,87.3,1.8,2.7,6.8,7,3.1
ID00255,Male,22,Business,66.1,3.4,2.63,7.0,14,2.67
ID00256,Female,20,Engineering,66.6,4.1,3.79,8.2,10,3.82
ID00257,Female,19,Psychology,86.6,2.7,2.85,6.5,9,3.18
ID00258,Female,21,Business,77.5,6.3,2.52,7.0,9,2.81
ID00259,Female,22,Mathematics,79.9,3.6,3.32,8.2,10,3.09
ID00260,Male,18,Computer Science,100.0,5.6,3.43,7.0,6,3.82
ID00261,Female,22,Psychology,96.0,8.5,3.43,8.0,9,3.91
ID00262,Female,23,Engineering,100.0,10.1,2.96,6.3,10,3.42
ID00263,Male,19,Economics,70.1,3.4,3.23,7.5,3,3.38
ID00264,Male,24,Business,79.9,4.3,2.77,9.0,12,2.59
ID00265,Female,19,Mathematics,96.4,4.9,3.94,7.9,8,4.0
ID00266,Female,24,Psychology,91.7,3.5,3.67,4.2,9,4.0
ID00267,Female,24,Mathematics,100.0,2.1,3.64,7.8,12,3.98
ID00268,Female,21,Mathematics,91.3,7.3,3.5,5.3,12,3.94
ID00269,Male,20,Economics,100.0,2.1,3.36,5.6,4,3.44
ID00270,Male,24,Engineering,93.1,7.7,2.48,7.7,5,3.02
ID00271,Female,24,Psychology,100.0,5.3,3.42,5.5,5,3.56
ID00272,Female,21,Business,80.1,4.8,3.16,5.3,8,3.54
ID00273,Female,22,Engineering,85.2,2.5,3.73,7.0,12,3.9
ID00274,Female,23,Business,98.7,1.0,3.5,6.1,4,3.69
ID00275,Male,18,Computer Science,100.0,7.2,3.38,4.6,7,3.63
ID00276,Male,21,Mathematics,95.9,2.5,2.26,7.8,6,2.62
ID00277,Female,20,Computer Science,83.8,5.5,3.06,8.5,9,3.54
ID00278,Female,21,Mathematics,100.0,5.7,2.82,8.4,5,3.14
ID00279,Female,19,Economics,52.1,4.1,3.23,5.7,11,2.72
ID00280,Female,22,Engineering,63.7,4.8,2.89,7.6,6,3.16
ID00281,Female,22,Business,95.2,5.3,2.96,6.3,11,3.35
ID00282,Male,24,Economics,85.2,4.6,3.33,5.1,3,3.44
ID00283,Male,22,Business,94.1,2.4,2.88,5.9,6,2.93
ID00284,Male,22,Engineering,86.0,1.4,3.16,4.0,7,3.13
ID00285,Female,22,Psychology,93.6,2.7,2.34,5.4,7,2.4
ID00286,Male,22,Computer Science,72.8,3.2,2.68,4.8,9,2.45
ID00287,Male,18,Computer Science,93.6,8.7,3.43,7.3,8,4.0
ID00288,Male,20,Business,99.9,1.8,2.48,7.4,10,2.6
ID00289,Male,24,Business,100.0,9.4,3.72,4.5,4,4.0
ID00290,Female,22,Business,100.0,11.1,3.59,8.2,5,4.0
ID00291,Male,24,Engineering,88.7,2.7,2.97,6.1,4,3.33
ID00292,Male,20,Psychology,89.1,10.9,4.0,5.4,4,4.0
ID00293,Female,23,Computer Science,62.2,3.7,3.72,4.3,7,3.84
ID00294,Male,22,Economics,77.0,3.4,2.63,5.8,6,2.58
ID00295,Male,24,Mathematics,82.1,8.7,3.47,6.8,7,4.0
ID00296,Male,21,Engineering,100.0,4.7,3.13,8.5,8,3.37
ID00297,Female,24,Computer Science,75.8,4.3,2.71,6.8,12,2.75
ID00298,Male,22,Psychology,96.9,2.7,2.57,6.5,9,2.7
ID00299,Female,19,Engineering,85.0,2.8,3.6,7.9,2,3.96
ID00300,Male,18,Economics,82.3,4.3,2.8,7.2,6,3.07
ID00301,Male,21,Computer Science,88.7,8.7,3.05,4.7,10,3.37
ID00302,Male,21,Engineering,79.1,1.8,2.64,6.3,12,2.42
ID00303,Male,19,Computer Science,78.6,3.9,2.73,6.1,4,2.86
ID00304,Female,22,Computer Science,59.4,1.6,3.04,6.8,6,2.56
ID00305,Female,18,Psychology,81.3,2.6,3.29,6.3,10,3.68
ID00306,Female,21,Mathematics,77.8,6.0,1.81,5.8,9,2.02
ID00307,Male,18,Psychology,77.3,2.3,3.11,9.2,5,2.91
ID00308,Male,21,Computer Science,91.3,7.5,2.73,6.9,9,3.37
ID00309,Female,22,Engineering,94.9,2.2,3.8,7.7,8,4.0
ID00310,Male,23,Economics,88.5,2.9,4.0,6.8,10,4.0
ID00311,Male,21,Psychology,99.9,1.1,2.92,8.2,3,2.95
ID00312,Male,23,Mathematics,93.6,7.5,2.24,6.9,7,2.94
ID00313,Male,21,Computer Science,80.6,6.9,3.16,8.5,7,3.75
ID00314,Female,20,Economics,78.1,1.6,3.0,4.0,7,2.78
ID00315,Female,22,Psychology,89.7,3.4,4.0,7.1,14,4.0
ID00316,Female,19,Psychology,93.6,3.2,3.93,7.4,7,4.0
ID00317,Male,23,Psychology,100.0,3.0,3.53,7.5,7,3.86
ID00318,Male,19,Psychology,100.0,11.2,2.81,5.4,8,3.62
ID00319,Male,22,Economics,76.9,3.0,3.44,5.9,5,3.46
ID00320,Male,24,Engineering,83.5,2.3,3.23,5.4,7,3.53
ID00321,Male,19,Mathematics,95.1,1.2,3.22,7.7,12,3.52
ID00322,Female,22,Mathematics,100.0,2.4,2.32,8.4,4,2.43
ID00323,Female,19,Computer Science,99.1,8.7,3.63,4.5,4,4.0
ID00324,Male,23,Business,84.0,4.6,3.15,7.3,10,3.52
ID00325,Female,20,Engineering,66.2,4.6,3.05,5.7,5,2.99
ID00326,Female,19,Computer Science,70.0,2.5,2.8,9.6,5,2.55
ID00327,Female,23,Computer Science,89.1,7.9,2.7,7.8,9,3.17
ID00328,Female,21,Psychology,90.1,5.6,3.26,6.5,10,3.49
ID00329,Male,22,Business,68.5,3.1,2.23,6.8,8,2.3
ID00330,Male,18,Business,85.7,2.1,3.49,8.9,9,3.69
ID00331,Male,24,Engineering,94.5,3.9,2.57,7.1,8,2.88
ID00332,Female,18,Business,67.7,2.2,2.07,4.3,5,2.12
ID00333,Male,22,Computer Science,100.0,3.6,4.0,9.3,6,4.0
ID00334,Male,20,Business,79.3,4.4,2.67,8.2,18,2.24
ID00335,Male,19,Business,100.0,2.6,2.74,6.2,9,2.97
ID00336,Male,20,Mathematics,77.0,0.7,3.67,7.9,7,3.56
ID00337,Female,18,Computer Science,69.6,5.2,4.0,6.1,6,4.0
ID00338,Female,24,Economics,78.1,2.6,2.33,6.0,10,2.22
ID00339,Male,23,Business,83.6,4.4,2.62,6.8,11,2.89
ID00340,Male,24,Business,79.2,3.7,2.66,7.9,4,2.61
ID00341,Male,22,Psychology,81.8,10.1,3.57,7.7,8,4.0
ID00342,Male,22,Business,90.0,4.1,3.92,8.4,14,4.0
ID00343,Male,20,Business,82.4,6.8,2.56,7.7,9,3.0
ID00344,Male,23,Mathematics,84.0,3.2,3.81,9.2,6,4.0
ID00345,Male,20,Computer Science,59.4,2.2,2.75,9.6,4,2.18
ID00346,Female,19,Engineering,90.9,5.3,3.27,7.5,8,3.74
ID00347,Female,21,Computer Science,83.7,2.5,2.46,6.5,6,2.8
ID00348,Male,23,Psychology,100.0,6.2,3.04,6.7,8,3.33
ID00349,Male,21,Computer Science,70.9,1.8,3.04,4.1,3,2.76
ID00350,Female,24,Business,57.9,4.9,2.94,7.0,3,2.72
ID00351,Male,19,Psychology,94.3,4.0,3.29,6.1,5,3.77
ID00352,Female,21,Computer Science,90.2,9.0,2.6,5.9,10,3.19
ID00353,Female,18,Psychology,69.9,5.2,2.66,6.9,5,2.92
ID00354,Male,24,Engineering,62.1,3.7,3.32,4.0,6,3.4
ID00355,Male,21,Computer Science,100.0,6.4,3.77,6.7,13,4.0
ID00356,Female,19,Economics,100.0,0.7,3.09,7.3,4,3.32
ID00357,Male,21,Business,47.7,5.6,3.35,4.7,8,3.25
ID00358,Female,22,Psychology,78.1,5.9,3.48,9.0,11,3.62
ID00359,Female,20,Economics,100.0,6.3,3.52,7.7,13,3.93
ID00360,Female,18,Economics,77.9,6.0,2.62,8.9,12,2.61
ID00361,Male,22,Mathematics,77.6,5.5,2.71,7.7,14,2.78
ID00362,Female,22,Psychology,80.8,3.3,2.75,7.5,8,3.06
ID00363,Male,19,Economics,68.2,4.4,4.0,9.3,6,3.91
ID00364,Male,20,Mathematics,59.4,2.7,3.35,9.0,9,2.81
ID00365,Female,20,Economics,100.0,2.4,3.33,9.9,8,3.54
ID00366,Male,23,Business,57.4,3.3,3.28,6.8,9,3.14
ID00367,Female,24,Engineering,88.7,3.6,2.44,5.8,3,2.67
ID00368,Female,18,Mathematics,98.3,5.1,4.0,5.3,10,4.0
ID00369,Male,24,Engineering,63.2,8.2,3.34,5.5,4,3.63
ID00370,Male,19,Psychology,71.1,6.8,3.46,8.0,7,3.75
ID00371,Male,18,Business,100.0,4.8,2.22,10.0,8,2.59
ID00372,Male,23,Mathematics,93.0,7.7,3.49,9.3,2,3.99
ID00373,Male,21,Psychology,75.7,4.1,2.92,6.7,5,3.09
ID00374,Female,22,Economics,100.0,5.5,2.44,8.1,11,2.9
ID00375,Male,18,Computer Science,100.0,3.3,2.62,6.2,7,3.09
ID00376,Male,24,Psychology,89.0,4.0,2.47,6.3,6,2.86
